Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1604493128.0,2020-11-04 12:32:00,B2087,CCA1883,556.26,329.656,21.0,40.12035,116.61844
1604493154.0,2020-11-04 12:32:30,B2087,CCA1883,883.92,353.732,30.0,40.12035,116.61844
1604493183.0,2020-11-04 12:33:00,B2087,CCA1883,1127.76,405.588,36.0,40.16331,116.65344
1604493224.0,2020-11-04 12:33:30,B2087,CCA1883,1143.0,513.004,84.0,40.17233,116.69812
1604493252.0,2020-11-04 12:34:00,B2087,CCA1883,1463.04,518.56,84.0,40.17549,116.74109
1604493272.0,2020-11-04 12:34:30,B2087,CCA1883,1844.04,518.56,84.0,40.1781,116.77881
1604493304.0,2020-11-04 12:35:00,B2087,CCA1883,2247.9,544.488,71.0,40.1781,116.77881
1604493333.0,2020-11-04 12:35:30,B2087,CCA1883,2651.76,557.452,65.0,40.19852,116.87512
1604493369.0,2020-11-04 12:36:00,B2087,CCA1883,2926.08,572.268,65.0,40.22816,116.95945
1604493394.0,2020-11-04 12:36:30,B2087,CCA1883,3086.1,572.268,65.0,40.23289000000001,116.97278
1604493422.0,2020-11-04 12:37:00,B2087,CCA1883,3444.24,594.492,99.0,40.23072,117.04859
1604493456.0,2020-11-04 12:37:30,B2087,CCA1883,3596.64,642.644,155.0,40.20122,117.07941
1604493485.0,2020-11-04 12:38:00,B2087,CCA1883,3794.76,722.28,156.0,40.14793,117.11053
1604493513.0,2020-11-04 12:38:30,B2087,CCA1883,4114.8,746.3560000000001,155.0,40.11434000000001,117.12993
1604493545.0,2020-11-04 12:39:00,B2087,CCA1883,4236.72,744.5039999999998,164.0,40.05482,117.16425
1604493580.0,2020-11-04 12:39:30,B2087,CCA1883,4777.74,727.836,184.0,39.97999,117.17618
1604493605.0,2020-11-04 12:40:00,B2087,CCA1883,5242.56,687.092,196.0,39.97999,117.17618
1604493630.0,2020-11-04 12:40:30,B2087,CCA1883,5577.84,666.72,198.0,39.88692,117.14357
1604493660.0,2020-11-04 12:41:00,B2087,CCA1883,5669.28,666.72,198.0,39.853,117.12984
1604493692.0,2020-11-04 12:41:30,B2087,CCA1883,5692.14,683.388,198.0,39.853,117.12984
1604493733.0,2020-11-04 12:42:00,B2087,CCA1883,5699.76,670.424,197.0,39.72473,117.07975
1604493755.0,2020-11-04 12:42:30,B2087,CCA1883,5699.76,670.424,197.0,39.68769,117.06543
1604493785.0,2020-11-04 12:43:00,B2087,CCA1883,5951.22,664.868,197.0,39.63639000000001,117.04559
1604493822.0,2020-11-04 12:43:30,B2087,CCA1883,6469.38,692.648,190.0,39.57335,117.03138
1604493846.0,2020-11-04 12:44:00,B2087,CCA1883,6743.7,724.132,182.0,39.57335,117.03138
1604493873.0,2020-11-04 12:44:30,B2087,CCA1883,6888.48,764.8760000000002,176.0,39.4828,117.03616
1604493907.0,2020-11-04 12:45:00,B2087,CCA1883,7307.58,779.692,176.0,39.41778,117.04163
1604493944.0,2020-11-04 12:45:30,B2087,CCA1883,7627.62,796.36,177.0,39.33874,117.04724
1604493961.0,2020-11-04 12:46:00,B2087,CCA1883,7780.02,811.176,176.0,39.31639000000001,117.04865
1604493991.0,2020-11-04 12:46:30,B2087,CCA1883,8214.36,816.732,177.0,39.24229,117.05365
1604494026.0,2020-11-04 12:47:00,B2087,CCA1883,8580.12,844.512,176.0,39.17551,117.05819
1604494065.0,2020-11-04 12:47:30,B2087,CCA1883,8785.86,900.072,176.0,39.10677,117.06274
1604494080.0,2020-11-04 12:48:00,B2087,CCA1883,8923.02,914.888,176.0,39.05017,117.06667
1604494111.0,2020-11-04 12:48:30,B2087,CCA1883,9189.72,937.112,176.0,38.99199,117.07097
1604494143.0,2020-11-04 12:49:00,B2087,CCA1883,9715.5,914.888,176.0,38.93829,117.07483
1604494177.0,2020-11-04 12:49:30,B2087,CCA1883,10431.78,866.7360000000001,176.0,38.83755,117.0824
1604494204.0,2020-11-04 12:50:00,B2087,CCA1883,10675.62,861.18,177.0,38.79347,117.08514
1604494242.0,2020-11-04 12:50:30,B2087,CCA1883,10698.48,870.44,177.0,38.69041,117.09145
1604494263.0,2020-11-04 12:51:00,B2087,CCA1883,10698.48,868.5880000000002,177.0,38.65022,117.09408
1604494297.0,2020-11-04 12:51:30,B2087,CCA1883,10698.48,875.9960000000002,176.0,38.57272,117.09924
1604494334.0,2020-11-04 12:52:00,B2087,CCA1883,10698.48,875.9960000000002,176.0,38.57272,117.09924
1604494350.0,2020-11-04 12:52:30,B2087,CCA1883,10698.48,877.8480000000002,176.0,38.4521,117.10763
1604494384.0,2020-11-04 12:53:00,B2087,CCA1883,10698.48,881.552,176.0,38.40802,117.11068
1604494415.0,2020-11-04 12:53:30,B2087,CCA1883,10698.48,885.2560000000002,177.0,38.34622,117.1149
1604494445.0,2020-11-04 12:54:00,B2087,CCA1883,10698.48,885.2560000000002,177.0,38.24075,117.12197
1604494470.0,2020-11-04 12:54:30,B2087,CCA1883,10698.48,885.2560000000002,177.0,38.24075,117.12197
1604494502.0,2020-11-04 12:55:00,B2087,CCA1883,10698.48,885.2560000000002,177.0,38.15909,117.12758
1604494536.0,2020-11-04 12:55:30,B2087,CCA1883,10698.48,890.812,176.0,38.10301,117.13138
1604494569.0,2020-11-04 12:56:00,B2087,CCA1883,10698.48,890.812,177.0,38.10301,117.13138
1604494594.0,2020-11-04 12:56:30,B2087,CCA1883,10698.48,890.812,177.0,37.92087,117.14342
1604494625.0,2020-11-04 12:57:00,B2087,CCA1883,10698.48,898.22,176.0,37.84813,117.14823
1604494659.0,2020-11-04 12:57:30,B2087,CCA1883,10698.48,900.072,176.0,37.84813,117.14823
1604494693.5,2020-11-04 12:58:00,B2087,CCA1883,10698.48,901.924,176.25,37.753792499999996,117.1545
1604494728.0,2020-11-04 12:58:30,B2087,CCA1883,10698.48,903.7760000000001,176.5,37.659454999999994,117.16077
1604494762.5,2020-11-04 12:59:00,B2087,CCA1883,10698.48,905.628,176.75,37.5651175,117.16704
1604494797.0,2020-11-04 12:59:30,B2087,CCA1883,10698.48,907.48,177.0,37.47078,117.17331
1604494810.0,2020-11-04 13:00:00,B2087,CCA1883,10698.48,905.628,176.0,37.435,117.17568
1604494830.0,2020-11-04 13:00:30,B2087,CCA1883,10698.48,909.332,177.0,37.435,117.17568
1604494871.0,2020-11-04 13:01:00,B2087,CCA1883,10698.48,907.48,177.0,37.32582,117.18281
1604494897.0,2020-11-04 13:01:30,B2087,CCA1883,10698.48,907.48,177.0,37.22992,117.18912
1604494922.0,2020-11-04 13:02:00,B2087,CCA1883,10698.48,909.332,177.0,37.18947,117.19176000000002
1604494958.0,2020-11-04 13:02:30,B2087,CCA1883,10698.48,909.332,177.0,37.08761,117.19851
1604494983.0,2020-11-04 13:03:00,B2087,CCA1883,10698.48,918.592,173.0,37.04475,117.20349
1604495014.0,2020-11-04 13:03:30,B2087,CCA1883,10698.48,929.704,169.0,36.96222,117.22026
1604495044.0,2020-11-04 13:04:00,B2087,CCA1883,10698.48,929.704,168.0,36.89488,117.23774
1604495074.0,2020-11-04 13:04:30,B2087,CCA1883,10698.48,927.852,167.0,36.84695,117.25084
1604495105.0,2020-11-04 13:05:00,B2087,CCA1883,10698.48,927.852,167.0,36.79893,117.26406
1604495133.0,2020-11-04 13:05:30,B2087,CCA1883,10698.48,929.704,167.0,36.73274,117.28249
1604495165.0,2020-11-04 13:06:00,B2087,CCA1883,10698.48,926.0,167.0,36.6666,117.30091000000002
1604495200.0,2020-11-04 13:06:30,B2087,CCA1883,10698.48,924.148,167.0,36.5443,117.33486
1604495231.0,2020-11-04 13:07:00,B2087,CCA1883,10698.48,918.592,167.0,36.47736,117.35356000000002
1604495256.0,2020-11-04 13:07:30,B2087,CCA1883,10698.48,916.74,167.0,36.41844,117.37003
1604495281.0,2020-11-04 13:08:00,B2087,CCA1883,10698.48,922.296,168.0,36.36923,117.38358999999998
1604495316.0,2020-11-04 13:08:30,B2087,CCA1883,10698.48,926.0,167.0,36.27923,117.40843
1604495346.0,2020-11-04 13:09:00,B2087,CCA1883,10698.48,924.148,167.0,36.25484,117.41524
1604495373.0,2020-11-04 13:09:30,B2087,CCA1883,10698.48,922.296,167.0,36.17942,117.43619
1604495405.0,2020-11-04 13:10:00,B2087,CCA1883,10698.48,926.0,167.0,36.08029000000001,117.46325
1604495434.0,2020-11-04 13:10:30,B2087,CCA1883,10698.48,922.296,167.0,36.03539,117.47563999999998
1604495466.0,2020-11-04 13:11:00,B2087,CCA1883,10698.48,914.888,167.0,35.9657,117.49492
1604495490.0,2020-11-04 13:11:30,B2087,CCA1883,10698.48,913.036,167.0,35.89,117.5156
1604495531.0,2020-11-04 13:12:00,B2087,CCA1883,10698.48,918.592,167.0,35.82898,117.53213999999998
1604495552.0,2020-11-04 13:12:30,B2087,CCA1883,10698.48,916.74,167.0,35.76961,117.54833
1604495589.0,2020-11-04 13:13:00,B2087,CCA1883,10698.48,913.036,167.0,35.68057,117.57265
1604495610.0,2020-11-04 13:13:30,B2087,CCA1883,10698.48,911.184,167.0,35.61923,117.5893
1604495644.0,2020-11-04 13:14:00,B2087,CCA1883,10698.48,909.332,167.0,35.55148,117.60771
1604495672.0,2020-11-04 13:14:30,B2087,CCA1883,10698.48,909.332,167.0,35.5101,117.61889
1604495705.0,2020-11-04 13:15:00,B2087,CCA1883,10698.48,909.332,167.0,35.45027,117.63494
1604495735.0,2020-11-04 13:15:30,B2087,CCA1883,10698.48,909.332,167.0,35.38659000000001,117.65212
1604495765.0,2020-11-04 13:16:00,B2087,CCA1883,10698.48,909.332,167.0,35.27705,117.68169
1604495796.0,2020-11-04 13:16:30,B2087,CCA1883,10698.48,909.332,167.0,35.20732,117.70037
1604495827.0,2020-11-04 13:17:00,B2087,CCA1883,10698.48,911.184,167.0,35.16357,117.71212
1604495852.0,2020-11-04 13:17:30,B2087,CCA1883,10698.48,911.184,167.0,35.12636,117.72211
1604495881.0,2020-11-04 13:18:00,B2087,CCA1883,10698.48,911.184,167.0,35.01706,117.75141
1604495910.0,2020-11-04 13:18:30,B2087,CCA1883,10698.48,913.036,167.0,35.00733,117.75398
1604495944.0,2020-11-04 13:19:00,B2087,CCA1883,10698.48,914.888,167.0,34.87619,117.789
1604495979.0,2020-11-04 13:19:30,B2087,CCA1883,10698.48,931.556,165.0,34.83457,117.80079
1604496004.0,2020-11-04 13:20:00,B2087,CCA1883,10698.48,931.556,165.0,34.76706,117.81991
1604496030.0,2020-11-04 13:20:30,B2087,CCA1883,10698.48,853.7719999999998,185.0,34.71088,117.81773
1604496064.0,2020-11-04 13:21:00,B2087,CCA1883,10698.48,909.332,171.0,34.62469,117.81946
1604496094.0,2020-11-04 13:21:30,B2087,CCA1883,10698.48,940.816,165.0,34.54436,117.84109
1604496121.0,2020-11-04 13:22:00,B2087,CCA1883,10698.48,940.816,165.0,34.49805,117.85675
1604496152.0,2020-11-04 13:22:30,B2087,CCA1883,10698.48,951.928,163.0,34.416,117.88594
1604496186.0,2020-11-04 13:23:00,B2087,CCA1883,10698.48,948.224,163.0,34.35928,117.90642
1604496211.0,2020-11-04 13:23:30,B2087,CCA1883,10698.48,946.372,163.0,34.28163,117.93434
1604496241.0,2020-11-04 13:24:00,B2087,CCA1883,10698.48,942.668,163.0,34.238890000000005,117.94961
1604496282.0,2020-11-04 13:24:30,B2087,CCA1883,10698.48,944.52,163.0,34.14578,117.98369
1604496303.0,2020-11-04 13:25:00,B2087,CCA1883,10698.48,942.668,163.0,34.10953,117.99692
1604496333.0,2020-11-04 13:25:30,B2087,CCA1883,10698.48,942.668,163.0,34.03583,118.02377
1604496369.0,2020-11-04 13:26:00,B2087,CCA1883,10698.48,940.816,163.0,33.932109999999994,118.06149
1604496392.0,2020-11-04 13:26:30,B2087,CCA1883,10698.48,940.816,163.0,33.87749,118.08145
1604496424.0,2020-11-04 13:27:00,B2087,CCA1883,10698.48,972.3,155.0,33.86005,118.08781
1604496452.0,2020-11-04 13:27:30,B2087,CCA1883,10698.48,1009.34,145.0,33.77312,118.13027
1604496483.0,2020-11-04 13:28:00,B2087,CCA1883,10698.48,1009.34,145.0,33.67207,118.21123
1604496528.0,2020-11-04 13:28:30,B2087,CCA1883,10698.48,1009.34,144.0,33.59427,118.27623
1604496544.0,2020-11-04 13:29:00,B2087,CCA1883,10698.48,1009.34,145.0,33.59427,118.27623
1604496572.0,2020-11-04 13:29:30,B2087,CCA1883,10698.48,1009.34,145.0,33.5289,118.33072
1604496607.0,2020-11-04 13:30:00,B2087,CCA1883,10698.48,1007.488,145.0,33.4158,118.42427
1604496633.0,2020-11-04 13:30:30,B2087,CCA1883,10698.48,1005.636,145.0,33.37558,118.4575
1604496666.0,2020-11-04 13:31:00,B2087,CCA1883,10698.48,1003.784,145.0,33.339220000000005,118.48744
1604496693.0,2020-11-04 13:31:30,B2087,CCA1883,10698.48,1003.784,145.0,33.23914,118.56967
1604496723.0,2020-11-04 13:32:00,B2087,CCA1883,10698.48,1007.488,145.0,33.17773,118.62
1604496752.0,2020-11-04 13:32:30,B2087,CCA1883,10698.48,1009.34,144.0,33.14235,118.6492
1604496782.0,2020-11-04 13:33:00,B2087,CCA1883,10698.48,1007.488,144.0,33.072759999999995,118.70705
1604496819.0,2020-11-04 13:33:30,B2087,CCA1883,10698.48,1009.34,144.0,33.072759999999995,118.70705
1604496849.0,2020-11-04 13:34:00,B2087,CCA1883,10698.48,1005.636,145.0,33.072759999999995,118.70705
1604496884.0,2020-11-04 13:34:30,B2087,CCA1883,10698.48,1005.636,145.0,32.88332,118.86411
1604496903.0,2020-11-04 13:35:00,B2087,CCA1883,10698.48,1005.636,145.0,32.88332,118.86411
1604496935.0,2020-11-04 13:35:30,B2087,CCA1883,10568.94,1001.932,144.0,32.75439,118.97072
1604496965.0,2020-11-04 13:36:00,B2087,CCA1883,10408.92,1003.784,144.0,32.689820000000005,119.02442
1604497000.0,2020-11-04 13:36:30,B2087,CCA1883,10241.28,1001.932,144.0,32.61227,119.08867
1604497023.0,2020-11-04 13:37:00,B2087,CCA1883,10126.98,1000.08,145.0,32.5963,119.1019
1604497059.0,2020-11-04 13:37:30,B2087,CCA1883,9944.1,1000.08,145.0,32.49884,119.18249
1604497086.0,2020-11-04 13:38:00,B2087,CCA1883,9806.94,1000.08,145.0,32.45247,119.22067
1604497116.0,2020-11-04 13:38:30,B2087,CCA1883,9723.12,992.672,144.0,32.40889,119.25654
1604497146.0,2020-11-04 13:39:00,B2087,CCA1883,9593.58,987.116,145.0,32.30888,119.33882
1604497173.0,2020-11-04 13:39:30,B2087,CCA1883,9494.52,987.116,145.0,32.27485,119.36662
1604497205.0,2020-11-04 13:40:00,B2087,CCA1883,9334.5,972.3,145.0,32.194790000000005,119.4321
1604497236.0,2020-11-04 13:40:30,B2087,CCA1883,9166.86,972.3,145.0,32.1244,119.48966
1604497260.0,2020-11-04 13:41:00,B2087,CCA1883,9037.32,963.04,145.0,32.10732,119.50367
1604497293.0,2020-11-04 13:41:30,B2087,CCA1883,8869.68,959.336,145.0,32.038129999999995,119.56017
1604497331.0,2020-11-04 13:42:00,B2087,CCA1883,8801.1,959.336,145.0,31.95575,119.62722
1604497352.0,2020-11-04 13:42:30,B2087,CCA1883,8542.02,948.224,141.0,31.95575,119.62722
1604497387.0,2020-11-04 13:43:00,B2087,CCA1883,8214.36,974.152,123.0,31.86347,119.74044
1604497416.0,2020-11-04 13:43:30,B2087,CCA1883,7901.94,964.892,122.0,31.86347,119.74044
1604497443.0,2020-11-04 13:44:00,B2087,CCA1883,7658.1,955.632,119.0,31.7915,119.87479
1604497477.0,2020-11-04 13:44:30,B2087,CCA1883,7193.28,953.78,119.0,31.75454,119.95263
1604497502.0,2020-11-04 13:45:00,B2087,CCA1883,7018.02,953.78,119.0,31.714740000000006,120.04039
1604497538.0,2020-11-04 13:45:30,B2087,CCA1883,6705.6,900.072,117.0,31.690520000000006,120.09446
1604497563.0,2020-11-04 13:46:00,B2087,CCA1883,6477.0,885.2560000000002,117.0,31.67047,120.139
1604497595.0,2020-11-04 13:46:30,B2087,CCA1883,6271.26,850.068,117.0,31.62758,120.23394
1604497623.0,2020-11-04 13:47:00,B2087,CCA1883,6111.24,827.8439999999998,116.0,31.59719,120.30408
1604497654.0,2020-11-04 13:47:30,B2087,CCA1883,5996.94,805.62,111.0,31.58748,120.33018
1604497688.0,2020-11-04 13:48:00,B2087,CCA1883,6004.56,811.176,109.0,31.55411,120.43929
1604497715.0,2020-11-04 13:48:30,B2087,CCA1883,6004.56,811.176,109.0,31.53663,120.49843
1604497744.0,2020-11-04 13:49:00,B2087,CCA1883,6004.56,811.176,109.0,31.51433,120.57402
1604497776.0,2020-11-04 13:49:30,B2087,CCA1883,6004.56,813.028,109.0,31.50833,120.59428
1604497800.0,2020-11-04 13:50:00,B2087,CCA1883,5989.32,809.324,109.0,31.48581,120.67022
1604497838.0,2020-11-04 13:50:30,B2087,CCA1883,5524.5,798.212,109.0,31.46191,120.75062
1604497863.0,2020-11-04 13:51:00,B2087,CCA1883,5204.46,788.952,109.0,31.43477,120.84024
1604497894.0,2020-11-04 13:51:30,B2087,CCA1883,4876.8,763.0239999999999,110.0,31.41606,120.89982
1604497920.0,2020-11-04 13:52:00,B2087,CCA1883,4770.12,746.3560000000001,118.0,31.406840000000006,120.92613
1604497955.0,2020-11-04 13:52:30,B2087,CCA1883,4572.0,733.3919999999998,128.0,31.36089,121.00622
1604497981.0,2020-11-04 13:53:00,B2087,CCA1883,4389.12,720.428,130.0,31.34381,121.03083
1604498011.0,2020-11-04 13:53:30,B2087,CCA1883,4213.86,703.76,130.0,31.30394,121.08695
1604498044.0,2020-11-04 13:54:00,B2087,CCA1883,4206.24,705.612,129.0,31.25624,121.1541
1604498075.0,2020-11-04 13:54:30,B2087,CCA1883,4206.24,705.612,129.0,31.25624,121.1541
1604498107.0,2020-11-04 13:55:00,B2087,CCA1883,4206.24,703.76,129.0,31.25624,121.1541
1604498133.0,2020-11-04 13:55:30,B2087,CCA1883,4198.62,703.76,129.0,31.25624,121.1541
1604498163.0,2020-11-04 13:56:00,B2087,CCA1883,4046.22,711.168,115.0,31.13663,121.32439
1604498193.0,2020-11-04 13:56:30,B2087,CCA1883,3779.52,709.316,106.0,31.10593,121.41711
1604498222.0,2020-11-04 13:57:00,B2087,CCA1883,3528.06,709.316,106.0,31.1036,121.42727
1604498254.0,2020-11-04 13:57:30,B2087,CCA1883,3246.12,709.316,106.0,31.08073,121.53243
1604498286.0,2020-11-04 13:58:00,B2087,CCA1883,2964.18,677.832,94.0,31.07703,121.59102
1604498312.0,2020-11-04 13:58:30,B2087,CCA1883,2804.16,677.832,94.0,31.07534,121.62618
1604498344.0,2020-11-04 13:59:00,B2087,CCA1883,2613.66,533.376,92.0,31.07272,121.68807
1604498372.0,2020-11-04 13:59:30,B2087,CCA1883,2484.12,522.264,92.0,31.0711,121.72654
1604498409.0,2020-11-04 14:00:00,B2087,CCA1883,2225.04,513.004,92.0,31.06943,121.76444
1604498439.0,2020-11-04 14:00:30,B2087,CCA1883,2042.16,507.448,93.0,31.06723,121.81183
1604498469.0,2020-11-04 14:01:00,B2087,CCA1883,1874.52,503.744,93.0,31.06417,121.87035
1604498499.0,2020-11-04 14:01:30,B2087,CCA1883,1615.44,496.336,93.0,31.06156,121.91638
1604498525.0,2020-11-04 14:02:00,B2087,CCA1883,1363.98,485.224,94.0,31.059,121.95857
1604498560.0,2020-11-04 14:02:30,B2087,CCA1883,1150.62,466.704,99.0,31.0482,122.00202
1604498584.0,2020-11-04 14:03:00,B2087,CCA1883,1059.18,433.36800000000005,162.0,31.0482,122.00202
1604498614.0,2020-11-04 14:03:30,B2087,CCA1883,990.6,400.032,165.0,31.00705,122.02064
1604498646.0,2020-11-04 14:04:00,B2087,CCA1883,922.02,362.992,165.0,30.96616,122.03322
1604498674.0,2020-11-04 14:04:30,B2087,CCA1883,822.96,361.14,165.0,30.94876,122.03823
1604498701.0,2020-11-04 14:05:00,B2087,CCA1883,754.38,340.7680000000001,167.0,30.91589,122.03737
1604498731.0,2020-11-04 14:05:30,B2087,CCA1883,678.18,362.992,255.0,30.90519,122.00911
1604498760.0,2020-11-04 14:06:00,B2087,CCA1883,609.6,357.436,256.0,30.90133,121.99016
1604498792.0,2020-11-04 14:06:30,B2087,CCA1883,525.78,361.14,275.0,30.89374,121.94738
1604498828.0,2020-11-04 14:07:00,B2087,CCA1883,510.54,361.14,314.0,30.90321,121.9281
1604498861.0,2020-11-04 14:07:30,B2087,CCA1883,510.54,355.584,335.0,30.938370000000006,121.8995
1604498898.0,2020-11-04 14:08:00,B2087,CCA1883,510.54,351.88,343.0,30.95491,121.89331
1604498918.0,2020-11-04 14:08:30,B2087,CCA1883,518.16,350.028,343.0,30.97632,121.88539
1604498946.0,2020-11-04 14:09:00,B2087,CCA1883,510.54,344.472,342.0,31.00974,121.87279
1604498974.0,2020-11-04 14:09:30,B2087,CCA1883,510.54,314.84,343.0,31.02497,121.86711
1604499009.0,2020-11-04 14:10:00,B2087,CCA1883,358.14,281.504,343.0,31.02497,121.86711
1604499033.0,2020-11-04 14:10:30,B2087,CCA1883,259.08,281.504,343.0,31.070690000000006,121.84986
1604499063.0,2020-11-04 14:11:00,B2087,CCA1883,137.16,281.504,343.0,31.070690000000006,121.84986
1604499094.0,2020-11-04 14:11:30,B2087,CCA1883,30.48,281.504,343.0,31.10234,121.83794
1604499135.0,2020-11-04 14:12:00,B2087,CCA1883,-99.06,274.096,342.0,31.1109,121.83472
1604499151.0,2020-11-04 14:12:30,B2087,CCA1883,-114.3,274.096,342.0,31.14047,121.82371
1604499180.0,2020-11-04 14:13:00,B2087,CCA1883,-114.3,274.096,342.0,31.14047,121.82371
1604499230.0,2020-11-04 14:13:30,B2087,CCA1883,-114.3,29.632,343.0,31.15062,121.81766
1604499265.0,2020-11-04 14:14:00,B2087,CCA1883,-114.3,24.076,329.0,31.1526,121.81678
1604499296.0,2020-11-04 14:14:30,B2087,CCA1883,-114.3,19.446,315.5,31.154267500000003,121.8159075
1604499327.0,2020-11-04 14:15:00,B2087,CCA1883,-114.3,14.816,302.0,31.155935000000003,121.815035
