Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1604887423,2020-11-09 02:03:43,B6511,CCA1803,289.56,294.468,325,40.1176,116.56438
1604887428,2020-11-09 02:03:48,B6511,CCA1803,381.0,287.06,325,40.1176,116.56438
1604887439,2020-11-09 02:03:59,B6511,CCA1803,495.3,281.504,323,40.12579,116.55658000000001
1604887453,2020-11-09 02:04:13,B6511,CCA1803,571.5,281.504,323,40.12579,116.55658000000001
1604887459,2020-11-09 02:04:19,B6511,CCA1803,601.98,322.248,317,40.139920000000004,116.54047
1604887463,2020-11-09 02:04:23,B6511,CCA1803,617.22,331.50800000000004,316,40.139920000000004,116.54047
1604887475,2020-11-09 02:04:35,B6511,CCA1803,662.94,351.88,316,40.14386,116.53551999999999
1604887479,2020-11-09 02:04:39,B6511,CCA1803,693.42,374.10400000000004,316,40.14386,116.53551999999999
1604887493,2020-11-09 02:04:53,B6511,CCA1803,769.62,420.404,317,40.15919,116.51611000000001
1604887504,2020-11-09 02:05:04,B6511,CCA1803,861.06,442.62800000000004,318,40.16899,116.50403
1604887515,2020-11-09 02:05:15,B6511,CCA1803,990.6,448.184,318,40.17495,116.4969
1604887520,2020-11-09 02:05:20,B6511,CCA1803,1066.8,448.184,318,40.17495,116.4969
1604887523,2020-11-09 02:05:23,B6511,CCA1803,1112.52,448.184,318,40.17495,116.4969
1604887534,2020-11-09 02:05:34,B6511,CCA1803,1310.64,448.184,318,40.18892,116.48042
1604887550,2020-11-09 02:05:50,B6511,CCA1803,1699.26,433.36800000000005,316,40.2014,116.46525
1604887553,2020-11-09 02:05:53,B6511,CCA1803,1783.08,433.36800000000005,316,40.2014,116.46525
1604887559,2020-11-09 02:05:59,B6511,CCA1803,1912.62,427.81199999999995,315,40.2014,116.46525
1604887565,2020-11-09 02:06:05,B6511,CCA1803,1996.44,427.81199999999995,315,40.2014,116.46525
1604887570,2020-11-09 02:06:10,B6511,CCA1803,2057.4,437.07199999999995,316,40.2014,116.46525
1604887577,2020-11-09 02:06:17,B6511,CCA1803,2156.46,437.07199999999995,316,40.22978,116.42865
1604887580,2020-11-09 02:06:20,B6511,CCA1803,2194.56,437.07199999999995,316,40.22978,116.42865
1604887598,2020-11-09 02:06:38,B6511,CCA1803,2430.78,470.408,316,40.2437,116.41071000000001
1604887601,2020-11-09 02:06:41,B6511,CCA1803,2499.36,483.37199999999996,303,40.2437,116.41071000000001
1604887612,2020-11-09 02:06:52,B6511,CCA1803,2689.86,483.37199999999996,303,40.25242,116.38723
1604887617,2020-11-09 02:06:57,B6511,CCA1803,2781.3,483.37199999999996,303,40.25242,116.38723
