UTC TIME,Time,anum,fnum,height,speed,angle,longitude,latitude
2020-11-27 02:01:00,1606442467.0,B1430,CCA1803,-99.06,16.668,191.0,40.0784,116.59656
2020-11-27 02:01:30,1606442492.0,B1430,CCA1803,220.98,16.668,191.0,40.09561,116.59369
2020-11-27 02:02:00,1606442521.0,B1430,CCA1803,609.6,283.356,353.0,40.11507,116.59058
2020-11-27 02:02:30,1606442552.0,B1430,CCA1803,906.78,292.616,352.0,40.13897,116.5861
2020-11-27 02:03:00,1606442580.0,B1430,CCA1803,1089.66,353.732,353.0,40.16481,116.58142
2020-11-27 02:03:30,1606442613.0,B1430,CCA1803,1501.14,444.48,352.0,40.16481,116.58142
2020-11-27 02:04:00,1606442648.0,B1430,CCA1803,2026.92,435.22,353.0,40.23701,116.56836
2020-11-27 02:04:30,1606442671.0,B1430,CCA1803,2171.7,468.556,352.0,40.26471,116.56326
2020-11-27 02:05:00,1606442703.0,B1430,CCA1803,2186.94,474.112,328.0,40.29712,116.54596
2020-11-27 02:05:30,1606442733.0,B1430,CCA1803,2354.58,477.816,302.0,40.29712,116.54596
2020-11-27 02:06:00,1606442773.0,B1430,CCA1803,2819.4,553.748,269.0,40.30712,116.43317
2020-11-27 02:06:30,1606442794.0,B1430,CCA1803,2987.04,596.344,270.0,40.30682,116.4129
2020-11-27 02:07:00,1606442824.0,B1430,CCA1803,3398.52,618.568,270.0,40.30655,116.3269
2020-11-27 02:07:30,1606442855.0,B1430,CCA1803,3794.76,637.0880000000002,266.0,40.30627,116.28601
2020-11-27 02:08:00,1606442882.0,B1430,CCA1803,4130.04,666.72,245.0,40.29735,116.22363
2020-11-27 02:08:30,1606442911.0,B1430,CCA1803,4579.62,687.092,229.0,40.28513,116.19458
2020-11-27 02:09:00,1606442941.0,B1430,CCA1803,4968.24,687.092,229.0,40.28513,116.19458
2020-11-27 02:09:30,1606442971.0,B1430,CCA1803,5394.96,687.092,229.0,40.20112,116.07237
2020-11-27 02:10:00,1606443000.0,B1430,CCA1803,5791.2,687.092,229.0,40.16937,116.02711
2020-11-27 02:10:30,1606443037.0,B1430,CCA1803,6004.56,727.836,228.0,40.12335,115.9613
2020-11-27 02:11:00,1606443066.0,B1430,CCA1803,6004.56,740.8,228.0,40.09003,115.91339
2020-11-27 02:11:30,1606443094.0,B1430,CCA1803,6004.56,729.688,228.0,40.04815,115.8537
