UTC TIME,Time,anum,fnum,height,speed,angle,longitude,latitude
2020-11-25 02:02:30,1606269779.0,B2089,CCA1803,266.7,298.172,352.0,40.09483,116.59351
2020-11-25 02:03:00,1606269785.0,B2089,CCA1803,342.9,298.172,352.0,40.09483,116.59351
2020-11-25 02:03:30,1606269810.0,B2089,CCA1803,693.42,296.32,352.0,40.10904,116.5906
2020-11-25 02:04:00,1606269850.0,B2089,CCA1803,1066.8,335.212,353.0,40.13438,116.58588
2020-11-25 02:04:30,1606269870.0,B2089,CCA1803,1173.48,422.256,353.0,40.15668,116.58178999999998
2020-11-25 02:05:00,1606269901.0,B2089,CCA1803,1668.78,433.36800000000005,353.0,40.19008,116.5758
2020-11-25 02:05:30,1606269942.0,B2089,CCA1803,1950.72,433.36800000000005,353.0,40.24855,116.56512
2020-11-25 02:06:00,1606269963.0,B2089,CCA1803,1981.2,433.36800000000005,353.0,40.25743,116.56354
2020-11-25 02:06:30,1606269992.0,B2089,CCA1803,2225.04,488.92800000000005,316.0,40.30005,116.54016
2020-11-25 02:07:00,1606270020.0,B2089,CCA1803,2453.64,492.632,273.0,40.30781,116.51313
2020-11-25 02:07:30,1606270054.0,B2089,CCA1803,2560.32,487.076,272.0,40.30939,116.45355
2020-11-25 02:08:00,1606270093.0,B2089,CCA1803,2994.66,488.92800000000005,272.0,40.31107,116.38991
2020-11-25 02:08:30,1606270114.0,B2089,CCA1803,3307.08,479.668,272.0,40.31154,116.36238
2020-11-25 02:09:00,1606270140.0,B2089,CCA1803,3459.48,551.896,273.0,40.31351,116.2959
2020-11-25 02:09:30,1606270175.0,B2089,CCA1803,3855.72,590.788,274.0,40.31602,116.22998
2020-11-25 02:10:00,1606270205.0,B2089,CCA1803,4274.82,600.048,274.0,40.31629,116.22318
2020-11-25 02:10:30,1606270231.0,B2089,CCA1803,4770.12,600.048,274.0,40.32024000000001,116.11775
2020-11-25 02:11:00,1606270271.0,B2089,CCA1803,5227.32,629.68,260.0,40.31671,116.03723
2020-11-25 02:11:30,1606270296.0,B2089,CCA1803,5379.72,674.128,233.0,40.29897,115.99159
2020-11-25 02:12:00,1606270326.0,B2089,CCA1803,5394.96,701.908,218.0,40.27169,115.95851
2020-11-25 02:12:30,1606270351.0,B2089,CCA1803,5509.26,700.056,218.0,40.24425,115.93085
2020-11-25 02:13:00,1606270383.0,B2089,CCA1803,5920.74,711.168,218.0,40.18315,115.87037
2020-11-25 02:13:30,1606270414.0,B2089,CCA1803,6004.56,707.4639999999998,218.0,40.13929,115.82674
2020-11-25 02:14:00,1606270447.0,B2089,CCA1803,6004.56,694.5,218.0,40.10694,115.79415
2020-11-25 02:14:30,1606270478.0,B2089,CCA1803,6004.56,694.5,218.0,40.0876,115.77448
2020-11-25 02:15:00,1606270504.0,B2089,CCA1803,6012.18,685.24,218.0,40.01962,115.70575
2020-11-25 02:15:30,1606270533.0,B2089,CCA1803,6286.5,690.796,218.0,39.97343,115.65932
2020-11-25 02:16:00,1606270561.0,B2089,CCA1803,6598.92,720.428,218.0,39.94168,115.6273
2020-11-25 02:16:30,1606270598.0,B2089,CCA1803,7056.12,731.54,218.0,39.88787,115.57355
2020-11-25 02:17:00,1606270638.0,B2089,CCA1803,7604.76,742.6519999999998,218.0,39.82507,115.51111000000002
2020-11-25 02:17:30,1606270652.0,B2089,CCA1803,7795.26,742.6519999999998,218.0,39.80063,115.48691
2020-11-25 02:18:00,1606270689.0,B2089,CCA1803,8138.16,748.2080000000002,229.0,39.75361,115.42529
2020-11-25 02:18:30,1606270714.0,B2089,CCA1803,8397.24,751.9119999999998,244.0,39.75361,115.42529
2020-11-25 02:19:00,1606270754.0,B2089,CCA1803,8793.48,770.432,243.0,39.69426,115.27887
2020-11-25 02:19:30,1606270773.0,B2089,CCA1803,8968.74,792.6560000000002,243.0,39.69258,115.27454
2020-11-25 02:20:00,1606270811.0,B2089,CCA1803,9372.6,807.472,243.0,39.64247,115.14824
2020-11-25 02:20:30,1606270845.0,B2089,CCA1803,9959.34,781.544,243.0,39.61469,115.07886
2020-11-25 02:21:00,1606270865.0,B2089,CCA1803,10378.44,753.7639999999999,243.0,39.60446,115.05328
2020-11-25 02:21:30,1606270892.0,B2089,CCA1803,10736.58,731.54,243.0,39.57408,114.97706
2020-11-25 02:22:00,1606270922.0,B2089,CCA1803,10995.66,731.54,243.0,39.54547,114.90601
2020-11-25 02:22:30,1606270950.0,B2089,CCA1803,11003.28,744.5039999999998,243.0,39.52492,114.8549
2020-11-25 02:23:00,1606270987.0,B2089,CCA1803,11003.28,740.8,243.0,39.49683,114.78546
2020-11-25 02:23:30,1606271024.0,B2089,CCA1803,11003.28,738.948,243.0,39.4612,114.69733
2020-11-25 02:24:00,1606271053.0,B2089,CCA1803,11003.28,738.948,243.0,39.43575,114.6344
2020-11-25 02:24:30,1606271093.0,B2089,CCA1803,11003.28,738.948,243.0,39.40036,114.54722
2020-11-25 02:25:00,1606271104.0,B2089,CCA1803,11003.28,738.948,243.0,39.39353,114.53052
2020-11-25 02:25:30,1606271147.0,B2089,CCA1803,11003.28,738.948,243.0,39.39353,114.53052
2020-11-25 02:26:00,1606271168.0,B2089,CCA1803,11003.28,738.948,243.0,39.39353,114.53052
2020-11-25 02:26:30,1606271215.0,B2089,CCA1803,11003.28,738.948,243.0,39.32936,114.37305
2020-11-25 02:27:00,1606271224.0,B2089,CCA1803,11003.28,738.948,243.0,39.32936,114.37305
2020-11-25 02:27:30,1606271259.5,B2089,CCA1803,11003.28,738.948,243.0,39.28887,114.27542500000001
2020-11-25 02:28:00,1606271295.0,B2089,CCA1803,11003.28,738.948,243.0,39.24838,114.1778
2020-11-25 02:28:30,1606271320.0,B2089,CCA1803,11003.28,765.8020000000001,222.0,39.217985,114.150035
2020-11-25 02:29:00,1606271345.0,B2089,CCA1803,11003.28,792.6560000000002,201.0,39.18759,114.12227
2020-11-25 02:29:30,1606271381.0,B2089,CCA1803,11003.28,807.472,196.0,39.08652,114.08585
2020-11-25 02:30:00,1606271410.0,B2089,CCA1803,11003.28,805.62,196.0,38.98714,114.0514
2020-11-25 02:30:30,1606271446.0,B2089,CCA1803,11003.28,805.62,196.0,38.96702,114.04437
2020-11-25 02:31:00,1606271472.0,B2089,CCA1803,11003.28,805.62,196.0,38.88771,114.01623
2020-11-25 02:31:30,1606271501.0,B2089,CCA1803,11003.28,805.62,196.0,38.81049,113.98877
2020-11-25 02:32:00,1606271521.0,B2089,CCA1803,11003.28,803.768,196.0,38.81049,113.98877
2020-11-25 02:32:30,1606271556.0,B2089,CCA1803,11003.28,803.768,196.0,38.70344,113.95081
2020-11-25 02:33:00,1606271589.0,B2089,CCA1803,11003.28,803.768,196.0,38.66769,113.93817
2020-11-25 02:33:30,1606271611.0,B2089,CCA1803,11003.28,803.768,196.0,38.63448,113.92649
2020-11-25 02:34:00,1606271652.0,B2089,CCA1803,11003.28,805.62,196.0,38.53775,113.89252
2020-11-25 02:34:30,1606271676.0,B2089,CCA1803,11003.28,803.768,196.0,38.51422,113.88422
2020-11-25 02:35:00,1606271717.0,B2089,CCA1803,11003.28,800.064,196.0,38.43608,113.85693
2020-11-25 02:35:30,1606271737.0,B2089,CCA1803,11003.28,800.064,196.0,38.36888,113.83355
2020-11-25 02:36:00,1606271772.0,B2089,CCA1803,11003.28,800.064,196.0,38.30332,113.81066
2020-11-25 02:36:30,1606271800.0,B2089,CCA1803,11003.28,800.064,196.0,38.23279,113.78616
2020-11-25 02:37:00,1606271827.0,B2089,CCA1803,11003.28,801.916,196.0,38.23279,113.78616
2020-11-25 02:37:30,1606271852.0,B2089,CCA1803,11003.28,801.916,196.0,38.14458,113.75554
2020-11-25 02:38:00,1606271890.0,B2089,CCA1803,11003.28,803.768,196.0,38.07825,113.73257
2020-11-25 02:38:30,1606271922.0,B2089,CCA1803,11003.28,803.768,196.0,38.00669,113.70796
2020-11-25 02:39:00,1606271948.0,B2089,CCA1803,11003.28,801.916,196.0,37.94403,113.68652
2020-11-25 02:39:30,1606271978.0,B2089,CCA1803,11003.28,801.916,196.0,37.88681,113.66695
2020-11-25 02:40:00,1606272008.0,B2089,CCA1803,11003.28,801.916,196.0,37.8447,113.65257
2020-11-25 02:40:30,1606272043.0,B2089,CCA1803,11003.28,803.768,196.0,37.76183,113.62431
2020-11-25 02:41:00,1606272068.0,B2089,CCA1803,11003.28,803.768,196.0,37.71414,113.60804
2020-11-25 02:41:30,1606272104.0,B2089,CCA1803,11003.28,803.768,196.0,37.66919,113.59285
2020-11-25 02:42:00,1606272123.0,B2089,CCA1803,11003.28,803.768,196.0,37.61104,113.57308
2020-11-25 02:42:30,1606272160.0,B2089,CCA1803,11003.28,801.916,196.0,37.55741,113.55493
2020-11-25 02:43:00,1606272185.0,B2089,CCA1803,11003.28,801.916,196.0,37.55741,113.55493
2020-11-25 02:43:30,1606272210.0,B2089,CCA1803,11003.28,803.768,196.0,37.44621,113.51729
2020-11-25 02:44:00,1606272257.0,B2089,CCA1803,11003.28,801.916,196.0,37.37437,113.49307
2020-11-25 02:44:30,1606272270.0,B2089,CCA1803,11003.28,801.916,196.0,37.32228,113.47545
2020-11-25 02:45:00,1606272303.0,B2089,CCA1803,11003.28,801.916,195.0,37.28629,113.46339
2020-11-25 02:45:30,1606272341.0,B2089,CCA1803,11003.28,803.768,196.0,37.19086,113.43139
2020-11-25 02:46:00,1606272361.0,B2089,CCA1803,11003.28,803.768,196.0,37.1694,113.42417
2020-11-25 02:46:30,1606272403.0,B2089,CCA1803,11003.28,805.62,196.0,37.06922,113.39067
2020-11-25 02:47:00,1606272433.0,B2089,CCA1803,11003.28,807.472,195.0,37.02234,113.37503
2020-11-25 02:47:30,1606272452.0,B2089,CCA1803,11003.28,807.472,195.0,36.97641,113.35968
2020-11-25 02:48:00,1606272493.0,B2089,CCA1803,11003.28,811.176,195.0,36.88678,113.32983
2020-11-25 02:48:30,1606272524.0,B2089,CCA1803,11003.28,814.88,195.0,36.853,113.3186
2020-11-25 02:49:00,1606272544.0,B2089,CCA1803,11003.28,814.88,195.0,36.7939,113.29903
2020-11-25 02:49:30,1606272573.0,B2089,CCA1803,11003.28,816.732,195.0,36.73137,113.27831
2020-11-25 02:50:00,1606272613.0,B2089,CCA1803,11003.28,820.436,195.0,36.6969,113.26693
2020-11-25 02:50:30,1606272638.0,B2089,CCA1803,11003.28,824.14,195.0,36.61464,113.23971
2020-11-25 02:51:00,1606272663.0,B2089,CCA1803,11003.28,824.14,195.0,36.55668,113.22054
2020-11-25 02:51:30,1606272698.0,B2089,CCA1803,11003.28,824.14,195.0,36.49695,113.20095
2020-11-25 02:52:00,1606272720.0,B2089,CCA1803,11003.28,825.992,195.0,36.45653,113.18768
2020-11-25 02:52:30,1606272752.0,B2089,CCA1803,11003.28,827.8439999999998,195.0,36.37175,113.15975
2020-11-25 02:53:00,1606272783.0,B2089,CCA1803,11003.28,827.8439999999998,195.0,36.31112,113.13995
2020-11-25 02:53:30,1606272814.0,B2089,CCA1803,11003.28,829.696,197.0,36.2509,113.11907
2020-11-25 02:54:00,1606272850.0,B2089,CCA1803,11003.28,820.436,204.0,36.20219,113.09704
2020-11-25 02:54:30,1606272875.0,B2089,CCA1803,11003.28,822.288,203.0,36.14027,113.06451
2020-11-25 02:55:00,1606272900.0,B2089,CCA1803,11003.28,820.436,203.0,36.12067,113.05434
2020-11-25 02:55:30,1606272931.0,B2089,CCA1803,11003.28,820.436,203.0,36.04824,113.01653
2020-11-25 02:56:00,1606272962.0,B2089,CCA1803,11003.28,822.288,203.0,35.96809000000001,112.97487
2020-11-25 02:56:30,1606272993.0,B2089,CCA1803,11003.28,820.436,203.0,35.92387,112.95198
2020-11-25 02:57:00,1606273023.0,B2089,CCA1803,11003.28,820.436,203.0,35.85286,112.91526
2020-11-25 02:57:30,1606273054.0,B2089,CCA1803,11003.28,818.584,203.0,35.84564,112.91152
2020-11-25 02:58:00,1606273082.0,B2089,CCA1803,11003.28,820.436,203.0,35.79243,112.88394
2020-11-25 02:58:30,1606273113.0,B2089,CCA1803,11003.28,820.436,204.0,35.69348,112.83239
2020-11-25 02:59:00,1606273142.0,B2089,CCA1803,11003.28,820.436,203.0,35.63232,112.80058
2020-11-25 02:59:30,1606273183.0,B2089,CCA1803,11003.28,818.584,204.0,35.54883,112.75713
2020-11-25 03:00:00,1606273203.0,B2089,CCA1803,11003.28,818.584,204.0,35.54883,112.75713
2020-11-25 03:00:30,1606273234.0,B2089,CCA1803,11003.28,820.436,204.0,35.50777,112.73569
2020-11-25 03:01:00,1606273262.0,B2089,CCA1803,11003.28,820.436,204.0,35.42372,112.69203
2020-11-25 03:01:30,1606273303.0,B2089,CCA1803,11003.28,820.436,204.0,35.34926,112.65346
2020-11-25 03:02:00,1606273320.0,B2089,CCA1803,11003.28,820.436,204.0,35.34926,112.65346
2020-11-25 03:02:30,1606273366.0,B2089,CCA1803,11003.28,820.436,203.0,35.23453,112.59384
